text,label
খানকিরা জানে খানকি বিত্তি কিভাবে আল্লাহতালা নরক তৈরি মত খানকি নাস্তিকদের,religious
তুই বড়যাত্রা এসেছ জুতা দেখেশিসতাহলে তর মাবাপের বিয়ের কই তুই এটেন্ড করেছিলেযেমন গাছ ফলএইগুলিরে জানিসসেটাকি পিটা,threat
এক সাক্ষাৎকারে মেয়েটি বলেছে বিশ্বাস না। ইসলাম ধর্ম পালন একটা কৌতুক,religious
নাস্তিকের প্রার্থনা,religious
আজকাল লম্পট অশিক্ষিত ব্যক্তি মুখ বের আনে শীঘ্রই নাস্তিকদের দার্শনিক উঠবে বার্তা বাতাসে উড়ে নবীদের সম্পর্কে।,religious
জিজ্ঞাসা ধারন আসিফ মহিউদ্দিন অর্থ কো ন সৃষ্টিকর্তা নাই। নাম ভন্ডামি,religious
পরজনমে অপ্সরীর এইজনমে সংখ্যা নাস্তিকদের প্রোফাইলে ফেবু প্রদত্ত গালির সংখ্যার সমানুপাতিক জানেন,religious
সিকি তসলিমার চাপাতির নিচে নামুসলিমকে বাদ,religious
নাস্তিকের বাচ্চা নাস্তিক নরকের কিট।,religious
সৃষ্টিকর্তা এক নিকৃষ্ট প্রাণী নাম লজ্জা বোধ সৃষ্টিকর্তার নাম দ্বিধা গর্বিত।,religious
খাইয়ালব্ব কেম্নে তাকায় আবালে,threat
নবী স আঘাত গালী জোর ইসলাম ধর্মে আমন্ত্রণ গালী ইসলাম সম্পর্কে ন্যূনতম জ্ঞান না।,religious
নাস্তিকআস্তিক যাই হোকফেবুতে সবাই সাফা কবিরকেভইরা গালিগালাজ দোজাহানের অশেষ সওয়াব করবার চাইতেসেনআর পুলকিত হইতেসেনকি এক বিশাল সওয়াবের করলামমনে সুপ্ত বাসনাআল্লাহ ভাল কাজের বিনিময়েআল্লাহ ইচ্ছা হাসিল জান্নাত দিবেনযদি এটাকেও ভালো হিসেবে হয়তাইলেই কেল্লা ফতেজীবনে পাপ কম ভাইবইন থামেনকুরআনের ছোট একটা সুরাসুরা কাফিরুনের বাংলা অনুবাদ পইড়েনআর ইসলাম ধর্মতে কোথায় গালি দিয়া সুপথে আনার কথা আসেএটাও বইলেনআল্লাহ সবাইকে সঠিকভাবে পড়াশোনা সালমান রুশদীর কইরা জেনে ইসলাম চর্চা করারআর মানুষকে ইসলামের সহিহ দাওয়াতের তৌফিক দান করুনআমিন,religious
মানুষের মত আসলে ধার্মিক।,religious
একজন মিথ্যাবাদী দেশ দ্রবীভূত।,threat
দেশ মুসলমানদের বিদেশে সংখ্যক হিন্দুর বসবাস পরিবার ভারত দেশে আলাদা হচ্ছে।,religious
পরিবার সৃষ্ট জন্মের ঈশ্বরকে দেখেছেন বিশ্বাস পারবেন ঈশ্বর আপনাকে হত্যা পারবেন পৃথিবীতে অবিশ্বাসীদের অপমান আপনাকে হত্যা পারবেন না।,religious
স্বীকার দেশের লোক অসাম্প্রদায়িক কিভাবে ১ দেশ সরকারের বিরুদ্ধে অভিযোগ আনতে পারল। মৌলবাদী মুসলিম সাম্প্রদায়িক সম্প্রীতি আছে। চাই। অসম্প্রদায়িক দেশ পৃথিবীর কোথাও নষ্ট প্রতিবেশী দেশগুলোর কথায় ধরুন ভারতে,religious
নাস্তিক দুষ্ট।,religious
==,religious
পরকাল বিশ্বাস ঈশ্বরের বিচার আরো নাস্তিককে কথা বলার উৎসাহিত দেশ লাথি মেরে বের দেয়া বাল্টিকে মেরে বের,religious
ঘটনা নির্দেশনার উৎস হয়। আল্লাহ সুবাহানা আল্লাহ কেয়ামত ক্ষমা করবেন। আল্লাহ ক্ষমাকারীদের ভালোবাসেন।,religious
নাস্তিক লেসবিয়ান অাছে সঠিক পথে অাস জন্ম দাত্রী মা সময় ছোট করছিস অপরাধ,religious
বাকস্বাধীনতায় বিশ্বাস আসিফ কেবল নাস্তিক মানুষ ডোআলাপ বর্তমান সংখ্যায় প্রকাশ লিঙ্কে ওয়েবসাইটডকমআলাপ,religious
নিজেকে খারাপভাবে খারাপ আচরণ অপমান নাস্তিক বলবেন বলি বিপরীতটা বলি নাস্তিক লজ্জা প্রকৃত শিক্ষা নেই।,religious
একদিকে বলছো পরকালে বিশ্বাস করো অন্যদিকে বিশ্বাস স্থাপন ক্ষমা চাচ্ছো। মুল বিষয়টা কারো বিশ্বাসে আঘাত এনে থাকলে বলছো বিশ্বাস এখনো স্থাপন পারো নি। রবের বিশ্বাস মহান যাইহোক আল্লাহর যায় আসে না। তোমাদের মত নাস্তিকদের মুখাপেক্ষী নন,religious
তোর মুখে জুতা মারাইতে। দরকার। ভয়ে ক্ষমা চাইলে শেষএতো সহজ সবক্যারিয়ারের তোর আসছে সরি মারা,threat
যেহেতু মত মানুষ মত নাস্তিকদের প্রমাণ মৃত দেহকে রীতিতে কবর দেয়া নামটা পরিবর্তন করনি,religious
ছোট মানুষের কথা বলার হিরুর নিতম্ব জুতা লাল করতাম।,threat
পরিষ্কার মানুষ জীবন বাঁচানোর ট্রাম্পের কাল্পনিক ব্যাখ্যা ব্যাখ্যা বোঝাতে চাচ্ছি দেশের ভাবমূর্তি নষ্ট সুবিধা লাভের,religious
