text,label,text_length
খানকিরা জানে খানকি বিত্তি কিভাবে আল্লাহতালা নরক তৈরি মত খানকি নাস্তিকদের,religious,72
তুই বড়যাত্রা এসেছ জুতা দেখেশিসতাহলে তর মাবাপের বিয়ের কই তুই এটেন্ড করেছিলেযেমন গাছ ফলএইগুলিরে জানিসসেটাকি পিটা,threat,110
এক সাক্ষাৎকারে মেয়েটি বলেছে বিশ্বাস না। ইসলাম ধর্ম পালন একটা কৌতুক,religious,67
নাস্তিকের প্রার্থনা,religious,19
আজকাল লম্পট অশিক্ষিত ব্যক্তি মুখ বের আনে শীঘ্রই নাস্তিকদের দার্শনিক উঠবে বার্তা বাতাসে উড়ে নবীদের সম্পর্কে।,religious,108
জিজ্ঞাসা ধারন আসিফ মহিউদ্দিন অর্থ কো ন সৃষ্টিকর্তা নাই। নাম ভন্ডামি,religious,67
পরজনমে অপ্সরীর এইজনমে সংখ্যা নাস্তিকদের প্রোফাইলে ফেবু প্রদত্ত গালির সংখ্যার সমানুপাতিক জানেন,religious,93
সিকি তসলিমার চাপাতির নিচে নামুসলিমকে বাদ,religious,40
নাস্তিকের বাচ্চা নাস্তিক নরকের কিট।,religious,35
সৃষ্টিকর্তা এক নিকৃষ্ট প্রাণী নাম লজ্জা বোধ সৃষ্টিকর্তার নাম দ্বিধা গর্বিত।,religious,75
খাইয়ালব্ব কেম্নে তাকায় আবালে,threat,28
নবী স আঘাত গালী জোর ইসলাম ধর্মে আমন্ত্রণ গালী ইসলাম সম্পর্কে ন্যূনতম জ্ঞান না।,religious,78
